MZUEUQRT;MZ;UEU;QRT;estq_max_01;estq_max_02;estq_max_03;estq_max_04;estq_max_05;estq_max_06;estq_max_07;estq_max_08;estq_max_09;estq_max_10;estq_max_11;estq_max_12;estq_max_13;estq_max_14;estq_max_15;estq_max_16
1040019;1.0;40.0;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;366.58;366.58;366.58;366.58;366.58
1040021;1.0;40.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2662.68;2662.68;2662.68;2662.68;2662.68
1040023;1.0;40.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;437.3;437.3;437.3;437.3;437.3
1040025;1.0;40.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1040027;1.0;40.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1236.18;1236.18;1236.18;1236.18;1236.18
1040029;1.0;40.0;29.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1040031;1.0;40.0;31.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;871.81;871.81;871.81;871.81;871.81
1040033;1.0;40.0;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1019.39;1019.39;1019.39;1019.39;1019.39
1040035;1.0;40.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1040037;1.0;40.0;37.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1040039;1.0;40.0;39.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1042001;1.0;42.0;1.0;1834.2537;1834.2537;1834.2537;1834.2537;1834.2537;1834.2537;1834.2537;1834.2537;1834.2537;1834.2537;1834.2537;3102.02;3102.02;3102.02;3102.02;3102.02
1042003;1.0;42.0;3.0;2809.2279;2809.2279;2809.2279;2809.2279;2809.2279;2809.2279;1951.848;1951.848;1951.848;1951.848;1951.848;4239.87;4239.87;4239.87;4239.87;4239.87
1042005;1.0;42.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1999.08;1999.08;1999.08;1999.08;608.3301
1042007;1.0;42.0;7.0;1720.7659;1720.7659;1720.7659;1720.7659;1720.7659;1720.7659;1720.7659;1720.7659;1720.7659;1720.7659;1720.7659;2432.74;2432.74;2432.74;2432.74;2432.74
1042009;1.0;42.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;676.62;676.62;676.62;676.62;676.62
1042011;1.0;42.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;659.93;659.93;659.93;659.93;659.93
1042015;1.0;42.0;15.0;139.8973;139.8973;139.8973;139.8973;139.8973;139.8973;139.8973;139.8973;139.8973;139.8973;139.8973;1207.51;1207.51;1207.51;1207.51;1207.51
1042019;1.0;42.0;19.0;31775.636;31775.636;31775.636;31775.636;31775.636;31775.636;31775.636;31775.636;31775.636;31775.636;31775.636;41084.37;41084.37;41084.37;41084.37;41084.37
1042021;1.0;42.0;21.0;10610.9207;10610.9207;10610.9207;10145.4407;10145.4407;10145.4407;10145.4407;10145.4407;10145.4407;6889.9308;6889.9308;12191.1701;12191.1701;12191.1701;12191.1701;12191.1701
1042023;1.0;42.0;23.0;4110.21;1675.3425;1675.3425;275.3425;275.3425;275.3425;275.3425;275.3425;275.3425;275.3425;275.3425;8427.17;7851.8276;7322.7567;7322.7567;7078.3252
1042025;1.0;42.0;25.0;1530.94;770.9716;770.9716;770.9716;770.9716;770.9716;770.9716;472.2516;472.2516;472.2516;472.2516;5342.79;5342.79;5342.79;5342.79;5342.79
1042027;1.0;42.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1012.9;1012.9;712.92;45.13;45.13
1042029;1.0;42.0;29.0;1994.837;1994.837;1994.837;1994.837;1994.837;1994.837;1994.837;1994.837;1994.837;1994.837;1994.837;4694.09;4694.09;4694.09;4694.09;4694.09
1042031;1.0;42.0;31.0;825.7494;825.7494;825.7494;825.7494;825.7494;825.7494;825.7494;825.7494;825.7494;825.7494;825.7494;2410.88;2410.88;2410.88;2410.88;2410.88
1042033;1.0;42.0;33.0;111.8647;111.8647;111.8647;111.8647;111.8647;111.8647;111.8647;111.8647;111.8647;111.8647;111.8647;2287.77;2287.77;2287.77;2287.77;2287.77
1042035;1.0;42.0;35.0;7379.1465;7379.1465;7379.1465;7379.1465;7379.1465;7379.1465;7379.1465;7379.1465;7379.1465;7379.1465;7379.1465;10353.95;10353.95;10353.95;10353.95;10353.95
1042037;1.0;42.0;37.0;1948.7496;1948.7496;1948.7496;1948.7496;1948.7496;1948.7496;1948.7496;1948.7496;1948.7496;1948.7496;1948.7496;3411.11;3411.11;3411.11;3411.11;3411.11
1042039;1.0;42.0;39.0;381.7505;381.7505;381.7505;381.7505;381.7505;381.7505;0.0;0.0;0.0;0.0;0.0;1799.45;1799.45;1799.45;1799.45;1799.45
1042041;1.0;42.0;41.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;265.93;265.93;265.93;265.93;265.93
1042043;1.0;42.0;43.0;1053.6311;899.0211;899.0211;899.0211;899.0211;899.0211;899.0211;899.0211;899.0211;899.0211;899.0211;2016.4;2016.4;2016.4;2016.4;2016.4
1042045;1.0;42.0;45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1042047;1.0;42.0;47.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;770.63;770.63;770.63;770.63;770.63
1042049;1.0;42.0;49.0;2716.6099;2716.6099;2716.6099;2716.6099;2716.6099;2716.6099;2716.6099;2419.0099;2419.0099;2123.4799;2123.4799;4185.87;4185.87;4185.87;4185.87;4185.87
1042053;1.0;42.0;53.0;884.7853;884.7853;884.7853;884.7853;884.7853;884.7853;884.7853;884.7853;884.7853;884.7853;884.7853;2015.56;2015.56;2015.56;2015.56;1336.6378
1042055;1.0;42.0;55.0;855.2217;855.2217;855.2217;855.2217;855.2217;727.246;727.246;705.456;705.456;705.456;603.062;3677.676;3677.676;3677.676;3677.676;3677.676
1042057;1.0;42.0;57.0;4559.749;4559.749;4559.749;4559.749;4559.749;4559.749;4559.749;4559.749;4559.749;4559.749;4559.749;6732.67;6732.67;6732.67;6732.67;5732.67
1042059;1.0;42.0;59.0;224.734;224.734;224.734;224.734;0.034;0.034;0.034;0.034;0.034;0.034;0.0;907.946;607.946;607.946;607.946;607.946
1042065;1.0;42.0;65.0;2217.0514;2217.0514;2217.0514;1917.0514;1917.0514;1917.0514;622.1366;622.1366;622.1366;622.1366;622.1366;4200.35;4200.35;4200.35;4200.35;4200.35
1042067;1.0;42.0;67.0;905.6362;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1408.79;1408.79;1408.79;1408.79;1408.79
1042069;1.0;42.0;69.0;2268.7664;2268.7664;2268.7664;2268.7664;2268.7664;2268.7664;2268.7664;2268.7664;2268.7664;2268.7664;2238.7664;3657.46;3657.46;3657.46;3657.46;3657.46
1042071;1.0;42.0;71.0;3875.1025;3875.1025;3875.1025;3875.1025;3875.1025;3875.1025;3875.1025;3875.1025;3875.1025;3875.1025;3875.1025;6061.25;6061.25;6061.25;6061.25;6061.25
1042073;1.0;42.0;73.0;442.824;442.824;442.824;442.824;442.824;365.564;365.564;365.564;365.564;365.564;365.564;2526.84;2526.84;2526.84;2526.84;2526.84
1042075;1.0;42.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2047.98;2047.98;2047.98;2047.98;2047.98
1042077;1.0;42.0;77.0;674.3574;674.3574;674.3574;674.3574;674.3574;674.3574;674.3574;674.3574;674.3574;674.3574;674.3574;3923.99;3923.99;3923.99;3923.99;3923.99
1042079;1.0;42.0;79.0;1054.4604;1054.4604;1054.4604;1054.4604;1054.4604;1054.4604;1054.4604;1054.4604;1054.4604;1054.4604;1054.4604;3809.91;3809.91;3809.91;3809.91;3809.91
1042081;1.0;42.0;81.0;866.8068;866.8068;850.1268;850.1268;850.1268;850.1268;850.1268;850.1268;850.1268;850.1268;850.1268;3687.7;3687.7;3687.7;3687.7;3687.7
1042083;1.0;42.0;83.0;3949.5084;3949.5084;3949.5084;3949.5084;3949.5084;3949.5084;3949.5084;3949.5084;3949.5084;3949.5084;3949.5084;6612.06;6612.06;6612.06;6612.06;6612.06
1042085;1.0;42.0;85.0;3348.4417;3348.4417;3348.4417;3348.4417;3348.4417;3348.4417;3348.4417;3348.4417;3348.4417;3348.4417;3348.4417;5513.4;5513.4;5513.4;5513.4;5513.4
1042087;1.0;42.0;87.0;1565.8214;1565.8214;1565.8214;1565.8214;1565.8214;1565.8214;1565.8214;1565.8214;1565.8214;1565.8214;1565.8214;4381.87;4381.87;4381.87;4381.87;4381.87
1042089;1.0;42.0;89.0;3581.1299;3581.1299;3581.1299;3581.1299;3581.1299;3463.9331;3463.9331;3463.9331;3463.9331;3463.9331;3463.9331;6391.77;6391.77;6391.77;6391.77;6391.77
1042091;1.0;42.0;91.0;4198.3983;4198.3983;4198.3983;4198.3983;4198.3983;4198.3983;4198.3983;4198.3983;4198.3983;3960.4183;2894.0738;5845.0455;5845.0455;5845.0455;5845.0455;5845.0455
1042093;1.0;42.0;93.0;4637.8476;4637.8476;4637.8476;4637.8476;4637.8476;4637.8476;4472.7776;4472.7776;4472.7776;2374.57;2374.57;5303.4824;5303.4824;5303.4824;5303.4824;5303.4824
1042095;1.0;42.0;95.0;1111.0127;1111.0127;1111.0127;1111.0127;1111.0127;1111.0127;1111.0127;1111.0127;1111.0127;1111.0127;1111.0127;1778.75;1778.75;1778.75;1778.75;1778.75
1042097;1.0;42.0;97.0;2646.2876;2306.2847;2306.2847;2306.2847;2306.2847;2306.2847;2306.2847;2306.2847;2306.2847;2006.3447;2006.3447;4527.52;4527.52;4527.52;4527.52;4527.52
1042099;1.0;42.0;99.0;4402.024;4402.024;4402.024;4402.024;4402.024;4402.024;4402.024;4402.024;4402.024;4402.024;4402.024;7460.47;7460.47;7460.47;7460.47;7460.47
1042101;1.0;42.0;101.0;906.7332;906.7332;906.7332;906.7332;906.7332;906.7332;906.7332;906.7332;906.7332;906.7332;906.7332;4299.2953;4299.2953;4299.2953;4299.2953;4299.2953
1042103;1.0;42.0;103.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;863.1206;863.1206;863.1206;863.1206;863.1206
1042105;1.0;42.0;105.0;2753.216;2753.216;2753.216;2753.216;2753.216;2753.216;2474.896;2474.896;2474.896;2474.896;2474.896;6307.876;6307.876;6307.876;6307.876;6307.876
1042107;1.0;42.0;107.0;48.9473;48.9473;48.9473;48.9473;48.9473;48.9473;48.9473;48.9473;48.9473;48.9473;48.9473;611.7014;611.7014;611.7014;611.7014;611.7014
1042111;1.0;42.0;111.0;617.5732;617.5732;617.5732;617.5732;617.5732;617.5732;617.5732;617.5732;617.5732;617.5732;617.5732;1245.1949;1245.1949;1245.1949;1245.1949;1245.1949
1042113;1.0;42.0;113.0;480.105;480.105;480.105;480.105;480.105;480.105;480.105;480.105;480.105;480.105;480.105;1899.082;1899.082;1899.082;1899.082;1899.082
1042115;1.0;42.0;115.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1042117;1.0;42.0;117.0;2544.8832;2544.8832;2544.8832;2544.8832;2544.8832;2544.8832;2544.8832;2544.8832;2544.8832;2544.8832;2544.8832;5773.6875;5773.6875;5773.6875;5773.6875;4949.1275
1052001;1.0;52.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;919.02;919.02;919.02;919.02;919.02
1052003;1.0;52.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;611.1;611.1;611.1;611.1;611.1
1052005;1.0;52.0;5.0;1041.7564;1041.7564;1041.7564;1041.7564;1041.7564;1041.7564;1041.7564;1041.7564;1041.7564;1041.7564;1041.7564;1959.17;1959.17;1959.17;1959.17;1959.17
1052007;1.0;52.0;7.0;2858.3917;2858.3917;2858.3917;2858.3917;2858.3917;2858.3917;2858.3917;2858.3917;2858.3917;2858.3917;2858.3917;4645.39;4645.39;4645.39;4645.39;4645.39
1052011;1.0;52.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;234.98;234.98;234.98;234.98;234.98
1052013;1.0;52.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;856.54;856.54;856.54;856.54;856.54
1052015;1.0;52.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1052017;1.0;52.0;17.0;565.6155;565.6155;159.6145;159.6145;159.6145;159.6145;159.6145;63.9495;63.9495;63.9495;63.9495;2680.8;2680.8;2680.8;2680.8;2680.8
1052019;1.0;52.0;19.0;3475.9377;3475.9377;3475.9377;3475.9377;2767.1937;2767.1937;2767.1937;2767.1937;2767.1937;2767.1937;2767.1937;6305.81;6305.81;6305.81;6305.81;6305.81
