MZUEUQRT;MZ;UEU;QRT;uso_estq_01;uso_estq_02;uso_estq_03;uso_estq_04;uso_estq_05;uso_estq_06;uso_estq_07;uso_estq_08;uso_estq_09;uso_estq_10;uso_estq_11;uso_estq_12;uso_estq_13;uso_estq_14;uso_estq_15;uso_estq_16
1066023;1;66;23;795.3417;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1066025;1;66;25;29.8053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1066027;1;66;27;583.6279;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1066031;1;66;31;1132.7626;0.0;0.0;299.84000000000003;299.84000000000003;299.84000000000003;299.84000000000003;299.84000000000003;299.84000000000003;299.84000000000003;299.84000000000003;299.84000000000003;299.84000000000003;299.84000000000003;299.84000000000003;299.84000000000003
1066035;1;66;35;203.7788;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1066037;1;66;37;617.4036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1066039;1;66;39;1047.1244;0.0;0.0;0.0;0.0;0.0;4.279999999999973;4.279999999999973;4.279999999999973;4.279999999999973;4.279999999999973;4.279999999999973;4.279999999999973;4.279999999999973;4.279999999999973;4.279999999999973
1066041;1;66;41;1870.4822;0.0;0.0;54.489900000000034;54.489900000000034;54.489900000000034;54.489900000000034;54.489900000000034;54.489900000000034;54.489900000000034;54.489900000000034;54.489900000000034;54.489900000000034;54.489900000000034;54.489900000000034;54.489900000000034
1066043;1;66;43;797.5462;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1066045;1;66;45;2388.3235;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1066047;1;66;47;6752.0073;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6544.097200000004;6544.097200000004;6544.097200000004;6544.097200000004
1066049;1;66;49;2767.1653;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1066051;1;66;51;1267.574;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
